fit_scheme,num_demos,layer,cosine_as_is,cosine_pc1_sign_aligned,deployed_pc1_sign,control_pc1_sign_as_is,control_pc1_flipped,pc1_sign_agreed_as_is
perlayer,50,31,0.92979000310676,0.9297900031067596,1,1,False,True
perlayer,100,0,0.9993988784206289,0.9993988784206289,1,1,False,True
perlayer,100,1,-0.9698451377301407,0.9713774429208161,-1,1,True,False
perlayer,100,2,0.99510212474788,0.9951021247478801,-1,-1,False,True
perlayer,100,3,-0.9913001188678001,-0.9913001188678,-1,-1,False,True
perlayer,100,4,0.9855713151236675,0.9855713151236671,1,1,False,True
perlayer,100,5,0.9915096102661062,0.9915096102661063,1,1,False,True
perlayer,100,6,0.9900499634472565,0.9900499634472563,-1,-1,False,True
perlayer,100,7,-0.963046330484629,0.9937094882806076,1,-1,True,False
perlayer,100,8,0.9895068753153073,0.9895068753153069,1,1,False,True
perlayer,100,9,-0.4612784236341698,0.6760766400451655,1,-1,True,False
perlayer,100,10,0.980782546644752,0.9807825466447517,-1,-1,False,True
perlayer,100,11,-0.7415800857843743,-0.7415800857843738,-1,-1,False,True
perlayer,100,12,0.6305989744801558,0.6305989744801558,1,1,False,True
perlayer,100,13,-0.10936467651008037,0.2700150329971078,-1,1,True,False
perlayer,100,14,0.17631335354469352,0.6785756442417354,1,-1,True,False
perlayer,100,15,0.7414895124344698,0.7414895124344698,1,1,False,True
perlayer,100,16,0.3474146940824073,0.7877249447601385,1,-1,True,False
perlayer,100,17,0.2490887179099353,0.8895473277877686,1,-1,True,False
perlayer,100,18,0.43673072645267785,0.9073929418163409,1,-1,True,False
perlayer,100,19,0.533301104897025,0.9131920586981079,1,-1,True,False
perlayer,100,20,0.6342401143069742,0.9191904391293476,1,-1,True,False
perlayer,100,21,0.9369420763721519,0.9369420763721519,1,1,False,True
perlayer,100,22,0.9389756747478555,0.9389756747478548,1,1,False,True
perlayer,100,23,0.9358720602816123,0.9358720602816123,1,1,False,True
perlayer,100,24,0.9386149562108499,0.9386149562108496,1,1,False,True
perlayer,100,25,0.9402547061766581,0.9402547061766577,1,1,False,True
perlayer,100,26,0.94616825026292,0.9461682502629197,1,1,False,True
perlayer,100,27,0.9518486547338089,0.9518486547338085,1,1,False,True
perlayer,100,28,0.9514296896123605,0.9514296896123599,1,1,False,True
perlayer,100,29,0.9525928927938128,0.9525928927938122,1,1,False,True
perlayer,100,30,0.9576651226452204,0.9576651226452201,1,1,False,True
perlayer,100,31,0.9650433612821853,0.9650433612821848,1,1,False,True
perlayer,200,0,0.9991806681000368,0.9991806681000368,-1,-1,False,True
perlayer,200,1,0.9981141974714747,0.9981141974714745,1,1,False,True
perlayer,200,2,0.9979569334415621,0.9979569334415619,-1,-1,False,True
perlayer,200,3,0.9978936717635992,0.9978936717635994,-1,-1,False,True
perlayer,200,4,0.9961311293192525,0.9961311293192523,1,1,False,True
perlayer,200,5,0.9850725631145174,0.9850725631145173,1,1,False,True
perlayer,200,6,0.9957410207090804,0.9957410207090802,1,1,False,True
perlayer,200,7,0.9964124215311683,0.9964124215311679,-1,-1,False,True
perlayer,200,8,0.9949568634169037,0.9949568634169035,1,1,False,True
perlayer,200,9,0.9145540510377671,0.914554051037767,1,1,False,True
perlayer,200,10,-0.7937152053706852,0.9878821199440225,-1,1,True,False
